id;district_id;place_name;street_address;address_locality;created_at;updated_at;deleted_at
542;150132;Club Huancarama;Av. Pirámide del Sol 950 Zarate;Av. Pirámide del Sol 950 Zarate - SAN JUAN DE LURIGANCHO - LIMA;30/07/2024 06:56;30/07/2024 06:57;NULL
543;150113;Centro de Convenciones Maracaná;Jr. Huáscar 1652;Jr. Huáscar 1652 - JESÚS MARÍA - LIMA;31/07/2024 08:08;31/07/2024 08:08;NULL
544;150501;Concha Acústica del Coliseo Lolo Fernandez;NULL;SAN VICENTE DE CAÑETE - LIMA;31/07/2024 10:46;31/07/2024 10:46;NULL
545;150122;Espacio San Ramón (ex calle las pizzas);CALLE SAN RAMON N° 290 - MIRAFLORES - LIMA;CALLE SAN RAMON N° 290 - MIRAFLORES - LIMA - MIRAFLORES - LIMA;31/07/2024 14:43;31/07/2024 14:43;NULL
546;140307;Complejo Deportivo San Vicente De Paul Motupe;NULL;MOTUPE - LAMBAYEQUE;1/08/2024 05:35;1/08/2024 05:35;NULL
547;40101;Teatro del Palacio de Bellas Artes;Av Parra 204;Av Parra 204 - AREQUIPA;1/08/2024 05:58;1/08/2024 05:58;NULL
548;230101;Complejo Humboldt;NULL;TACNA;1/08/2024 06:02;1/08/2024 06:02;NULL
549;150118;Estadio de Nieveria Huachipa;NULL;LURIGANCHO - LIMA;1/08/2024 13:48;1/08/2024 13:48;NULL
550;200801;Centro Recreacional Los Rosales;NULL;SECHURA - PIURA;2/08/2024 06:41;2/08/2024 06:41;NULL
551;150118;Mercado La Parada Nieveria;NULL;LURIGANCHO - LIMA;2/08/2024 10:37;2/08/2024 11:55;NULL
552;80101;Coliseo Casa de la Juventud;NULL;CUSCO;2/08/2024 12:24;2/08/2024 12:24;NULL
553;140101;Casa Andina;Federico Villarreal 115;Federico Villarreal 115 - CHICLAYO - LAMBAYEQUE;5/08/2024 12:00;5/08/2024 12:00;NULL
554;30101;Explanada de Tamburco;NULL;ABANCAY - APURÍMAC;5/08/2024 12:42;5/08/2024 12:42;NULL
555;240301;Estadio 24 de Julio;NULL;ZARUMILLA - TUMBES;6/08/2024 06:14;6/08/2024 06:14;NULL
556;150103;Coliseo Internacional Puno;Av. Las Torres 349;Av. Las Torres 349 - ATE - LIMA;7/08/2024 11:23;7/08/2024 11:23;NULL
557;150103;Complejo Dionys;km 9.7, Ctra. Central;km 9.7, Ctra. Central - ATE - LIMA;9/08/2024 12:03;9/08/2024 12:03;NULL
558;61101;Estadio San Pedro;NULL;SAN MIGUEL - CAJAMARCA;10/08/2024 07:43;10/08/2024 07:43;NULL
559;230108;Costado del Polideportivo Pocollay;NULL;POCOLLAY - TACNA;12/08/2024 06:24;12/08/2024 06:24;NULL
560;230101;El mejor local;NULL;TACNA;13/08/2024 09:59;13/08/2024 09:59;NULL
561;100111;Explanada La Cochera;(Costado de Atachagua);(Costado de Atachagua) - PILLCO MARCA - HUÁNUCO;13/08/2024 11:41;13/08/2024 11:41;NULL
562;190104;Explanada del Campo Ferial de Canchacucho;NULL;HUAYLLAY - PASCO;13/08/2024 16:25;13/08/2024 16:25;NULL
